comment;len;rate
đơn hàng tôi đã thanh toán đủ tiền mà nhân viên giao hàng còn thu người nhà tôi thêm phí vận chuyển tôi gọi lại nhân viên giao hàng thì họ nói báo lên công ty và tôi cũng không nhận được hàng khuyến mãi chát lên tổng đài tiki thì không ai trả lời làm ăn gì kỳ vậy không uy tín tôi cần câu trả lời;67;1
thùng bia thì bung hết phần dán thùng quà khuyến mại thì dẹp lép bung hết nắp lọ khoai tây đáng vứt sọt rác tiki trading mà quá thất vọng 1 sao cũng không đáng;35;1
đắt quá trời ơi xuống đây mà coi nè thánh thần thiên địa ơi u là trời ố la la;20;1
đa nhan đuoc 1 thung bia saigon lager va qua tang 1 loc 6 lon coca cola đo thanks tiki shop;21;1
vì cậu bán đắt lắm nè phải làm sao phait làm sao huhu dỗi hihi hehe;15;1
giao hàng quá lâu giá thì đắt hơn ngoài cửa hàng đã thế còn lấy phí vận chuyển;18;1
tiki đóng gói sơ sài không bọc chống sốc gì cả bia bể thùng ướt;15;1
vận chuyển gần 1 tuần mới nhận đóng gói quá tệ chỉ để cái hộp quấn giấy là xong trong khi mua mình mua bản đắt nhất đóng gói quá sơ xài khi hàng tới tay khách hộp móp méo nhìn cái hộp đt bên trong thấy tội luôn trong khi có vài chỗ vận chuyển gần khách 1 2 nhận thì quấn bọc các thứ rất kỹ;67;1
trải nghiệm giao nhận hàng tệ nhất từng gặp trên mọi đơn hàng thương mại điện tử và là 1 đơn hàng giá trị lớn từ chính nhà bán tiki trading đã giao hàng trễ dù đã gửi yêu cầu hỗ trợ nhưng phía giao hàng không giao hàng tận nơi mà bắt khách hàng ra bưu cục;58;1
mình có đặt đơn có quà tặng là ốp magsafe nhưng thanh toán thẻ bị lỗi sau đó thanh toán lại thì mất quà tặng;25;1
quá tệ trong đơn ghi là đồng hồ dây kim loại hàng hot thời trang cao cấp vậy mà tôi nhận được là đồng hồ của con nít dây nhựa mà lại màu hưởng nữa chứ tôi đang muốn phản ánh mà không tìm được địa chỉ nhà bán nản vô cùng sẽ không bao giờ mua hàng trên tiki nữa;61;1
chảo mua mất tiền chứ có phải hàng khuyến mại đâu mà bọc sơ sài rồi tới tay người nhận như thế này;23;1
đã đọc rất nhiều bình luận phản hồi chảo móp méo nghĩ do vận chuyển nhưng lần này nhận được hàng thì khẳng định không phải do vận chuyển mà do nhà bán cố tình giao hàng kém;38;1
chảo móp thái độ người nhận lại hàng rất tệ lúc đầu không định comment nhưng vì thái độ người nhận lại hàng nên mình đánh giá để hi vong được cải thiện hơn;34;1
hàng này về bếp từ nhà tôi không tiếp xúc được shop liên hệ lại cho tôi và có phương án như thế nào giúp;24;1
tôi muốn đổi lại chảo nhỏ hơn vì nhà ít người đã nhầm với chảo khác phải làm sao;21;1
đóng hàng cẩu thả khiến chảo bị móp nặng dù được tiki hoàn tiền sau khi thu hồi rồi nhưng vẫn thấy bực vì mất thời gian;27;1
mới mở chảo ra đã xước 1 vệt dài dưới đáy chào thấy thất vọng quá trời;17;1
hàng nhận móp méo quá muốn đổi trả như thế nào vậy mọi người chia sẻ em với ạ;17;1
tôi thật sự không hài lòng khi nhận hàng sản phẩm đã bị móp cách gói hàng không cẩn thận;20;1
lúc bỏ vào giỏ thì có quà tặng là 1 chảo tương tự nhưng đến khi giao thì chỉ có 1 chảo mà thôi;24;1
sản phẩm không chất lượng như mình nghĩ không giống cái tefan của mình đã mua ở điện máy xanhe;20;1
chảo ghi nấu trên mọi loại bếp nhà dùng mỗi bếp từ giờ nấu không được phải làm sao làm như nào để đổi trả được ạ;27;1
chảo không sử dụng được với bếp hồng ngoại trong khi quảng cáo ghi là có thể sử dụng với bếp hồng ngoại quá chán;25;1
chảo nhận về bị méo không cho xem hàng nhận về hàng không như hình ảnh biết vậy không mua nữa;21;1
khi đặt mua chảo và miễn ship nhưng khi giao trên hóa đơn lại ghi không miễn ship là sao vậy;22;1
tới giờ khi đặt hàng được tặng tai nghe tuy nhiên mở ra không có gửi video mở hộp nhưng chưa được giải quyết đồng hồ ghi sử dụng 8 14 ngày tuy nhiên 5 ngày đã phải sạc 2 lần trung bình 1 ngày hết 50% pin dù không sử dụng nghe gọi hay thể thao chỉ xem giờ liên hệ shop không trả lời;68;1
đặt hàng từ lâu giao hàng không tặng tai nghe còn yêu cầu video lúc mở hàng cũng may là kêu anh shipper quay lại trước phản hồi thông tin thì tiếp nhận mà không biết xử lý đến bao giờ;42;1
đánh giá 1 sao vì shipper quá bố láo shipper khó chịu với khách vì phải ship sáng chủ nhật bắt khách lần sau đặt tối thứ 7 láo hết chỗ nói việc khách đặt giao nhanh là quyền của khách ông muốn ship thì cho người khác làm;50;1
tôi đăng ky mua trả góp và tốn tiền quy đổi qua trả góp home credit sao hôm nay tôi gọi home credit thì nhân viên bên đoa nói bên tiki chưa qui đổi qua trả góp cho tôi vấn đề thứ 2 là tôi đặt mua ipad gen9 có sử dụng lte mà sao khi nhận máy thì máy không có khe gắn sim làm sao sử dụng được sim 4g tiki làm ăn như vậy sao;81;1
rõ ràng ghi thích ứng với apple pencil 2 bây giờ tui mua apple pencil 2 cùng lúc với ipad thì không kết nối được tiki ghi mô tả sản phẩm kiểu gì vậy giờ làm gì với cái pencil 2 :);42;1
chưa đánh giá gì hết tính out ra chụp hình thì đã tự nhảy 5 sao ghét quá sửa lại 1 sao;22;1
sản phẩm hoạt động nhưng không ra nước dù đã sạc đầy pin tiki shop kiểm tra lại đổi giúp sản phẩm;21;1
mua trung cái máy không hoạt động được đóng gói cẩn thận giao hàng nhanh hang con nguyên tem chắc do minh xui;24;1
giao sản phẩm lỗi không sử dụng được và đã bị mở hộp từ trước;15;1
chất lượng sản phẩm thì ok rồi nhưng việc tách đơn giao hàng và giao hàng chậm cũng không hề có 1 thông báo nào cả nhờ ship gửi bảo vệ thì nhất định bắt xuống lấy chả hiểu kiểu gì;41;1
đặt hàng để có tặng mà khi lấy ra thì không có không bao giờ đặt hàng ở đây nữa quá tệ;22;1
hộp thì nát bét rách tùm lum sách bên trong thì muốn rớt ra ngoài giao hàng thì gần cả tháng 3 cuốn mình đặt thì cuốn này là tệ nhất chưa tính là quăng xuống đất hay giẫm lên bên trong có cả cát ức chết chả chịu nổi;50;1
bụi bặm trên sách nhiều cái này nó bám trên bìa sách không phải do vc mà trong kho lâu ngày gáy sách bị gãy các trang sách cong hình lượn sóng luôn kiểu chữ + khoảng cách dòng như này thì hơi rối thất vọng;45;1
gói hàng quá thất vọng gói cho có lệ không có bao bọc hay có gì bao quanh sách để tránh trường hợp sốc khi vận chuyển bỏ nguyên quyển sách vô dính cái gì màu đỏ nữa;38;1
đánh giá sau khi đã đọc một cuốn sách bổ ích và ý nghĩa một cuốn sách học thuật được lồng ghép dưới dạng truyện kể lại khoảng năm chương đầu tác giả tập trung vào nguồn gốc trí thông minh đặc tính của người do thái các chương tiếp theo tác giả mới tập trung đi vào các phương pháp tăng trí nhớ độc đáo của người do thái đọc đến đây một chân trời mới như được mở ra vậy nó còn tuyệt hơn những gì bạn nghĩ và có thể tưởng tượng một góc nhìn mới một tiếp cận mới ta chưa từng thực sự đi sâu và tiếp xúc mặc dù không ai trong chúng ta là chưa từng thể hiện nó trí nhớ siêu việt là điều ai cũng xem thêm;136;2
đóng gói rất cẩn thận và kèm theo thư cảm ơn và vucher tks trạm đọc rất nhiều ạ sẽ có nhiều trải nghiệm và khám phá kho sách trạm đọc;31;2
chưa đọc nhưng rất ưng vì tiki giao hàng tốt bao bọc rất kỹ lưỡng không méo mó 5 sao;19;2
sách đẹp lắm nha giao hàng siêu nhanh luôn đóng gói cũng rất kĩ nên mua nha mọi người;18;2
sản phẩm đóng gói cẩn thận tuy giao hàng hơi lâu quá nhưng vẫn cho 2 sao;16;2
hàng giao khá nhanh đóng hàng khá cẩn thận sách nội dung chất lượng sau vài ngày đọc cảm thấy khá hài lòng;23;2
1 không có đĩa như quảng cáo 2 không tự nhận driver mặc dù cắm đi cắm lại nhiều lần thậm chí update driver rồi cũng không được luôn cuối cùng là cho hỏi có test trước khi giao cho khách không;42;2
thiết bị hoạt động không tốt cắm vào pc ngay dưới chân kết nối bluetooth với tai nghe mà nghe rất rè không nghe ca nhạc được;30;2
đóng gói sơ xài cấn gốc hộp không xuất hóa đơn mua hàng còn lại sản phẩm dùng bình thường;21;2
xử lý đơn giao hàng quá chậm sau hơn 20 ngày mới nhận được hàng;15;2
mọi người chú ý khi mua hàng mình thấy tiki để shop uy tín mình tin tưởng lần đầu mình đặt hàng nhận được hàng đẹp chuẩn đóng thùng đúng onemask mình đặt thêm 2 thùng nữa thì nhận hàng như thế này : như kiểu hàng đóng gói trong thùng carton bình thường không nhãn hiệu chử onemask trên khẩu trang thì in mờ không như thùng đầu mình nhận được vãi cũng không giống mình đánh giá theo những gì mình nhận được thanks;86;2
mình mua hàng từ các nhà thuốc hoặc nhà bán khác đều có nguyên thùng của nhà cung cấp ở đây chỉ có thùng caton không có thương hiệu hay xuất xứ cảm thấy bị lừa dối;37;2
ghi tiêu đề gây hiểu nhầm thật là biết cách thu hut khách hàng lúc mua mình không được chọn số lượng giờ nhận hàng xong vào lại xem thì mới thấy ô chọn số lượng tiki mới cài thì phải không nghĩ là mua hàng trên tiki mà cũng gặp nhà cug cấp như bên lazada tiêu đề gây hiểu lầm thông tin không đầy đủ mình chọn mua hàng trên tiki vì thấy nhà cung cấp bên tiki uy tính thông tin rõ ràng minh bạch nhưng giờ đã không còn như vậy;97;2
vui lòng kiểm tra lại bên tiki chưa giao hàng nhưng hôm nhận hàng mình nhờ người khác nhận giúp và chuyển khoản nên không báo liền được;28;2
thùng nguyên mà đến được có 29 gói là sao shop ơi tưởng đến nhầm nhưng 2 mẹ con đến đi đem lại 😡 nghĩ nó chán;27;2
tên sản phẩm đề là thùng 300 cái mà lại xé lẻ ra giao có 200 chiếc cho khách chẳng khác nào lừa đảo khách hàng;26;2
sao shop ghi 300 cái 1 thùng thanh toán 300 cái mà nhận hảng có 200 cái là sao;19;2
giao thiếu hàng đặt 300 cái giao có 200 cái khẩu trang shop làm ăn không uy tín;18;2
mua 300 cái nhưng giao 200 cái đề nghị tiki kiểm tra lại thất vọng quá;16;2
chất lượng tai nghe ổn lắm nhưng mình đánh giá 2 sao vì : hàng nhận tới tay mình bị móp méo đơn mình đặt tầm 9 mà tới ngày 31 mình mới nhận được mà hàng từ thành phố tới bình phước cứ như đi bộ tới vậy quá thất vọng mình gọi chăm sóc khách hàng tiki 2 lần mới xử lý đơn cho mình mình check trên ưeb apple thì không đúng;74;2
mình mua sản phẩm về thì không kết nói được như hướng dẫn liên hệ bên tiki thì được thông báo đổi sản phẩm vào ngày 10 nhưng 3 ngày rồi vẫn chưa được liên hệ thu hồi từ shipper và không biết khi nào mới nhận được hàng đổi trả thật sự là 1 chuyện không muốn nhưng vấn đề thu hồi sản phẩm thì bên tiki nên xem lại vì mình ở trung tâm hà nội mà thời gian chờ đợi khá lâu không biết khi nhận được sản phẩm lại thì mất bao lâu nữa nó thật sự ảnh hưởng đến trải nghiệm của mình với sản phẩm mong tiki lưu ý đến vấn đề này thu gọn;121;2
hàng mua về mở hộp xong là bỏ vào case hình trái bơ do không kiểm tra kỹ lúc mở hộp nên đến khi về tới nhà lấy ra để kết nối thêm ipad thì mới thấy vết trầy xước;40;2
mua sản phẩm tặng quà noel cho vợ giao ngay trong ngày 2 đã kích hoạt bảo hành qua apple tuy nhiên đến chiều 16 thì tai nghe phía bên trái bị chết không còn tín hiệu phát ra âm thanh sáng 17 đã hoàn tất thủ tục liên hệ tiki gửi email về hotro tiki và giờ đang bị động trong quá trình đổi trả bảo hành mua hàng một cảm giác khá tệ khi luôn ủng hộ các mặt hàng high tech của tiki;85;2
hẹn 16 giao mà 26 mình mới nhận được và hộp thì méo mó trong khi mình đặt hàng điện tử không biết đã bị quăng hay đè bẹp nữa mình mua dùm bạn nên chưa check được xem hàng có bị hỏng gì không trước giờ mua mấy hàng bình thường thì tiki đóng gói giao rất ok lần đầu mua hàng điện tử mà tiki giao vậy thì mình cũng bye bye tiki luôn không dám mua hàng điện tử của tiki nữa;86;2
tai nghe của mình bị lỗi hay sao ấy mình nhận hàng được hơn 1 tuần rồi giờ mới phát hiện bên trên tai nghe hình như có 1 vết nứt mình chưa hề làm rớt hay gì cả mong nhận được phản hồi từ tiki;46;2
mình dùng chưa tới 1 tháng nhưng có 2 vấn đề với sản phẩm : airpods lẫn củ sạc hết pin quá nhanh nhanh hơn với airpods cũ mình mua trực tiếp từ apple vài hôm gần đây 1 bên tai nghe không connect được với iphone không sử dụng được mặc dù vẫn full pin tiki cho mình biết để bảo hành hoặc kiểm tra kỹ thuật sản phẩm airpod này thì mình cần làm gì cám ơn;83;2
chào tiki mình vừa nhận hàng chiều nay và mọi thứ thì cảm ứng chạm bên tai nghe bên trái đang có vấn đề có vẻ không tiếp nhận chuyển bài ạ mình đã để setup bên trái là bài trước bên phải bài kế tiếp bên phải 2 chạm vào work rất ok bên trái thì chạm quá chừng mà không được luôn;65;2
